Page#,dirty?
176,1
209,0
368,1
221,1
349,1
330,1
175,1
307,0
245,1
498,0
97,0
350,1
348,0
336,0
371,1
315,0
439,1
106,1
9,1
423,1
301,1
323,0
443,0
393,0
266,1
413,1
423,0
266,1
418,0
11,0
345,0
479,1
464,0
411,1
29,1
79,0
363,0
13,1
55,1
168,1
307,1
121,1
51,0
10,1
348,1
224,0
284,0
127,0
172,1
485,0
15,1
445,0
489,0
191,0
139,0
28,0
421,1
380,1
330,0
83,1
7,0
56,0
158,0
236,0
198,1
294,1
253,1
284,1
240,0
391,0
286,1
94,1
359,1
361,0
424,1
182,0
497,0
129,0
230,0
310,0
136,1
237,1
451,0
71,0
217,1
433,1
52,0
77,1
187,1
106,0
26,1
389,0
309,1
59,0
45,1
18,1
474,0
76,0
262,0
492,1
220,1
419,1
38,0
399,1
234,0
385,0
13,0
263,0
196,1
9,0
369,0
177,1
129,0
229,1
482,1
59,0
429,1
253,0
323,0
111,0
438,0
211,0
362,0
106,0
23,1
486,0
144,1
35,1
134,1
179,1
116,0
408,0
386,0
271,0
205,0
158,0
351,0
131,0
240,0
429,1
89,0
112,1
303,0
346,1
219,0
259,1
92,0
297,1
461,1
384,1
373,1
207,0
56,0
269,1
311,1
3,1
310,1
230,0
28,0
160,0
144,1
81,0
239,0
284,0
310,0
471,0
309,1
156,0
231,1
321,0
354,1
347,1
386,1
127,1
257,0
345,1
310,1
89,0
404,1
358,0
225,0
50,1
453,0
351,1
128,0
193,1
315,1
319,1
231,0
414,0
208,0
232,0
83,1
396,0
111,1
365,0
447,0
288,1
493,1
397,1
465,1
180,0
27,1
437,1
328,1
31,0
348,1
240,0
483,0
174,1
335,1
469,0
21,0
416,1
462,1
46,0
14,1
142,1
427,0
218,0
136,0
341,1
353,1
483,0
296,1
462,1
38,1
33,0
88,0
197,1
268,1
196,0
42,0
404,1
229,0
236,1
159,0
57,0
30,0
146,1
366,0
104,0
199,1
295,0
27,1
141,1
238,0
7,0
301,0
417,0
225,0
426,1
439,0
57,1
234,0
449,1
199,0
237,0
201,0
419,0
34,0
192,1
79,0
416,1
203,1
281,0
290,0
202,1
